"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","1","testcases","test_login","TestRequest","","","test_mapid[caseinfo2]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","1","testcases","test_login","TestRequest","","","test_city[caseinfo0]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","4","testcases","test_login","TestRequest","","","test_login[caseinfo2]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","4","testcases","test_login","TestRequest","","","test_city[caseinfo1]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","0","testcases","test_login","TestRequest","","","test_userinfo[caseinfo0]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","0","testcases","test_login","TestRequest","","","test_mapid[caseinfo0]",""
"broken","Thu Dec 12 23:15:16 CST 2024","Thu Dec 12 23:15:17 CST 2024","245","testcases","test_login","TestRequest","","","test_login[caseinfo0]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","4","testcases","test_login","TestRequest","","","test_login[caseinfo1]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","1","testcases","test_login","TestRequest","","","test_simulation[caseinfo0]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","4","testcases","test_login","TestRequest","","","test_userinfo[caseinfo1]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","0","testcases","test_login","TestRequest","","","test_ranAsPlan[caseinfo1]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","1","testcases","test_login","TestRequest","","","test_ranAsPlan[caseinfo0]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","0","testcases","test_login","TestRequest","","","test_simulation[caseinfo1]",""
"broken","Thu Dec 12 23:15:17 CST 2024","Thu Dec 12 23:15:17 CST 2024","1","testcases","test_login","TestRequest","","","test_mapid[caseinfo1]",""
